 Oasis, 1,  Today is gonna be the day  
 Oasis, 1,  That they're gonna throw it back to you  
 Oasis, 1,  By now you should've somehow  
 Oasis, 1,  Realized what you gotta do  
 Oasis, 1,  I don't believe that anybody  
 Oasis, 1,  Feels the way I do about you now Backbeat the word was on the street  
 Oasis, 1,  That the fire in your heart is out  
 Oasis, 1,  I'm sure you've heard it all before  
 Oasis, 1,  But you never really had a doubt  
 Oasis, 1,  I don't believe that anybody  
 Oasis, 1,  Feels the way I do about you now And all the roads we have to walk are winding  
 Oasis, 1,  And all the lights that lead us there are blinding  
 Oasis, 1,  There are many things that I would like to say to you  
 Oasis, 1,  But I don't know how Because maybe  
 Oasis, 1,  You're gonna be the one that saves me  
 Oasis, 1,  And after all  
 Oasis, 1,  You're my wonderwall Today was gonna be the day  
 Oasis, 1,  But they'll never throw it back to you  
 Oasis, 1,  By now you should've somehow  
 Oasis, 1,  Realized what you're not to do  
 Oasis, 1,  I don't believe that anybody  
 Oasis, 1,  Feels the way I do about you now And all the roads that lead you there were winding  
 Oasis, 1,  And all the lights that light the way are blinding  
 Oasis, 1,  There are many things that I would like to say to you  
 Oasis, 1,  But I don't know how I said maybe  
 Oasis, 1,  You're gonna be the one that saves me  
 Oasis, 1,  And after all  
 Oasis, 1,  You're my wonderwall I said maybe  
 Oasis, 1,  You're gonna be the one that saves me  
 Oasis, 1,  And after all  
 Oasis, 1,  You're my wonderwall I said maybe  
 Oasis, 1,  You're gonna be the one that saves me  
 Oasis, 1,  You're gonna be the one that saves me  
 Oasis, 1,  You're gonna be the one that saves me Slip inside the eye of your mind  
 Oasis, 1,  Don't you know you might find  
 Oasis, 1,  A better place to play  
 Oasis, 1,  You said that you'd never been  
 Oasis, 1,  But all the things that you've seen  
 Oasis, 1,  Will slowly fade away So I start a revolution from my bed  
 Oasis, 1,  Cause you said the brains I had went to my head  
 Oasis, 1,  Step outside summertime's in bloom  
 Oasis, 1,  Stand up beside the fireplace  
 Oasis, 1,  Take that look from off your face  
 Oasis, 1,  You ain't ever gonna burn my heart out And so Sally can wait  
 Oasis, 1,  She knows its too late as we re walking on by  
 Oasis, 1,  Her soul slides away  
 Oasis, 1,  But don t look back in anger I heard you say Take me to the place where you go  
 Oasis, 1,  Where nobody knows if it's night or day  
 Oasis, 1,  Please don't put your life in the hands  
 Oasis, 1,  Of a Rock n Roll band  
 Oasis, 1,  Who'll throw it all away Gonna start a revolution from my bed  
 Oasis, 1,  Cause you said the brains I had went to my head  
 Oasis, 1,  Step outside cause summertime's in bloom  
 Oasis, 1,  Stand up beside the fireplace  
 Oasis, 1,  Take that look from off your face  
 Oasis, 1,  Cause you ain't ever gonna burn my heart out And so Sally can wait  
 Oasis, 1,  She knows its too late as she s walking on by  
 Oasis, 1,  My soul slides away  
 Oasis, 1,  But don t look back in anger I heard you say So Sally can wait  
 Oasis, 1,  She knows its too late as we re walking on by  
 Oasis, 1,  Her soul slides away  
 Oasis, 1,  But don t look back in anger I heard you say So Sally can wait  
 Oasis, 1,  She knows its too late as she s walking on by  
 Oasis, 1,  My soul slides away  
 Oasis, 1,  But don t look back in anger don t look back in anger  
 Oasis, 1,  I heard you say  
 Oasis, 1,  At least not today Made a meal and threw it up on Sunday  
 Oasis, 1,  I've got a lot of things to learn  
 Oasis, 1,  Said I would and I'll be leaving one day  
 Oasis, 1,  Before my heart starts to burn So what's the matter with you  
 Oasis, 1,  Sing me something new Don't you know  
 Oasis, 1,  The cold and wind and rain don't know  
 Oasis, 1,  They only seem to come and go away Times are hard when things have got no meaning  
 Oasis, 1,  I've found a key upon the floor  
 Oasis, 1,  Maybe you and I will not believe in the things we find behind the door So what's the matter with you  
 Oasis, 1,  Sing me something new Don't you know  
 Oasis, 1,  The cold and wind and rain don't know  
 Oasis, 1,  They only seem to come and go away Stand by me nobody knows the way it's gonna be  
 Oasis, 1,  Stand by me nobody knows the way it's gonna be  
 Oasis, 1,  Stand by me nobody knows the way it's gonna be  
 Oasis, 1,  Stand by me nobody knows yeah nobody knows the way it's gonna be If you're leaving will you take me with you  
 Oasis, 1,  I'm tired of talking on my phone  
 Oasis, 1,  There is one thing I can never give you  
 Oasis, 1,  My heart will never be your home So what's the matter with you  
 Oasis, 1,  Sing me something new Don't you know  
 Oasis, 1,  The cold and wind and rain don't know  
 Oasis, 1,  They only seem to come and go away Stand by me nobody knows the way it's gonna be  
 Oasis, 1,  Stand by me nobody knows the way it's gonna be  
 Oasis, 1,  Stand by me nobody knows the way it's gonna be  
 Oasis, 1,  Stand by me nobody knows yeah nobody knows the way it's gonna be  
 Oasis, 1,  The way it's gonna be yeah Maybe I can see yeah Don't you know  
 Oasis, 1,  The cold and wind and rain don't know  
